h_id,DateTime,import_energy,export_energy
MAC001255,2013-07-04 07:00:00,0.37443070417785645,0.0
MAC001255,2013-07-04 08:00:00,0.22778807501983644,0.0
MAC001255,2013-07-04 09:00:00,0.053818157347361284,0.0
MAC001255,2013-07-04 10:00:00,0.18737883864466354,0.0
MAC001255,2013-07-04 11:00:00,0.0,0.0
MAC001255,2013-07-04 12:00:00,0.0,0.0
MAC001255,2013-07-04 13:00:00,0.0,0.0
MAC001255,2013-07-04 14:00:00,0.0,0.0
MAC001255,2013-07-04 15:00:00,0.0,0.0
MAC001255,2013-07-04 16:00:00,0.0,0.0
MAC001255,2013-07-04 17:00:00,0.0,0.0
MAC001255,2013-07-04 18:00:00,0.0,0.0
MAC001255,2013-07-04 19:00:00,0.0,0.0
MAC001255,2013-07-04 20:00:00,0.0,0.0
MAC001255,2013-07-04 21:00:00,0.0,0.0
MAC001255,2013-07-04 22:00:00,0.0,0.0
MAC001255,2013-07-04 23:00:00,0.0,0.0
MAC001255,2013-07-05 00:00:00,0.0,0.0
MAC001255,2013-07-05 01:00:00,0.25072076487485856,0.0
MAC001255,2013-07-05 02:00:00,0.22731736302375793,0.0
MAC001255,2013-07-05 03:00:00,0.2121768593788147,0.0
MAC001255,2013-07-05 04:00:00,0.2291157841682434,0.0
MAC001255,2013-07-05 05:00:00,0.27238965034484863,0.0
MAC001255,2013-07-05 06:00:00,0.29568107262929283,0.0
MAC001255,2013-07-05 07:00:00,0.1743419026082357,0.0
MAC001255,2013-07-05 08:00:00,0.0,0.0
MAC001255,2013-07-05 09:00:00,0.0,0.0
MAC001255,2013-07-05 10:00:00,0.0,0.0
MAC001255,2013-07-05 11:00:00,0.0,0.0
MAC001255,2013-07-05 12:00:00,0.0,0.0
MAC001255,2013-07-05 13:00:00,0.0,0.0
MAC001255,2013-07-05 14:00:00,0.0,1.0135451111784697
MAC001255,2013-07-05 15:00:00,0.0,0.8556925419858294
MAC001255,2013-07-05 16:00:00,0.0,1.1385807410189308
MAC001255,2013-07-05 17:00:00,0.0,0.8126536479034421
MAC001255,2013-07-05 18:00:00,0.0,0.4292973007710774
MAC001255,2013-07-05 19:00:00,0.0,0.0
MAC001255,2013-07-05 20:00:00,0.0,0.0
MAC001255,2013-07-05 21:00:00,0.0,0.0
MAC001255,2013-07-05 22:00:00,0.0,0.0
MAC001255,2013-07-05 23:00:00,0.0,0.0
MAC001255,2013-07-06 00:00:00,0.0,0.0
MAC001255,2013-07-06 01:00:00,0.0,0.0
MAC001255,2013-07-06 02:00:00,0.0,0.0
MAC001255,2013-07-06 03:00:00,0.0,0.0
MAC001255,2013-07-06 04:00:00,0.0,0.0
MAC001255,2013-07-06 05:00:00,0.0,0.0
