h_id,DateTime,import_energy,export_energy
MAC000541,2013-04-06 06:00:00,0.0,0.0
MAC000541,2013-04-06 07:00:00,0.0,0.0
MAC000541,2013-04-06 08:00:00,0.0,0.0
MAC000541,2013-04-06 09:00:00,0.0,0.582637947104413
MAC000541,2013-04-06 10:00:00,0.0,0.9943436098337173
MAC000541,2013-04-06 11:00:00,0.0,1.119341010350585
MAC000541,2013-04-06 12:00:00,0.0,0.8553128579938413
MAC000541,2013-04-06 13:00:00,0.0,1.3037407344006298
MAC000541,2013-04-06 14:00:00,0.0,1.6362958335188031
MAC000541,2013-04-06 15:00:00,0.0,1.6984540196830034
MAC000541,2013-04-06 16:00:00,0.0,1.5456272476384045
MAC000541,2013-04-06 17:00:00,0.0,1.3371607004315853
MAC000541,2013-04-06 18:00:00,0.0,0.8795569923136235
MAC000541,2013-04-06 19:00:00,0.0,0.42535794161689283
MAC000541,2013-04-06 20:00:00,0.0,0.03141486125910283
MAC000541,2013-04-06 21:00:00,0.0,0.0
MAC000541,2013-04-06 22:00:00,0.0,0.0
MAC000541,2013-04-06 23:00:00,0.0,0.0
MAC000541,2013-04-07 00:00:00,0.0,0.0
MAC000541,2013-04-07 01:00:00,0.0,0.0
MAC000541,2013-04-07 02:00:00,0.0,0.0
MAC000541,2013-04-07 03:00:00,0.0,0.0
MAC000541,2013-04-07 04:00:00,0.0,0.0
MAC000541,2013-04-07 05:00:00,0.0,0.0
MAC000541,2013-04-07 06:00:00,0.0,0.0
MAC000541,2013-04-07 07:00:00,0.0,0.0
MAC000541,2013-04-07 08:00:00,0.0,0.0
MAC000541,2013-04-07 09:00:00,0.0,0.5458287511652534
MAC000541,2013-04-07 10:00:00,0.0,0.8884728794037104
MAC000541,2013-04-07 11:00:00,0.0,1.103708811127186
MAC000541,2013-04-07 12:00:00,0.0,1.5619000081233978
MAC000541,2013-04-07 13:00:00,0.0,1.750359055766344
MAC000541,2013-04-07 14:00:00,0.0,1.935109136979282
MAC000541,2013-04-07 15:00:00,0.0,1.430107926759839
MAC000541,2013-04-07 16:00:00,0.0,1.222346233637333
MAC000541,2013-04-07 17:00:00,0.0,0.9063681059001086
MAC000541,2013-04-07 18:00:00,0.0,0.6478677787380218
MAC000541,2013-04-07 19:00:00,0.0,0.2900571835136414
MAC000541,2013-04-07 20:00:00,0.0,0.03695647413647177
MAC000541,2013-04-07 21:00:00,0.0,0.0
MAC000541,2013-04-07 22:00:00,0.0,0.0
MAC000541,2013-04-07 23:00:00,0.0,0.0
MAC000541,2013-04-08 00:00:00,0.0,0.0
MAC000541,2013-04-08 01:00:00,0.0,0.0
MAC000541,2013-04-08 02:00:00,0.0,0.0
MAC000541,2013-04-08 03:00:00,0.0,0.0
MAC000541,2013-04-08 04:00:00,0.0,0.0
MAC000541,2013-04-08 05:00:00,0.0,0.0
MAC000541,2013-04-08 06:00:00,0.0,0.0
MAC000541,2013-04-08 07:00:00,0.0,0.0
MAC000541,2013-04-08 08:00:00,0.0,0.0
